9,24,33,37,46;1,8
6,8,11,27,49;1,4
18,25,28,36,38;10,12
6,16,29,46,50;3,12
9,13,17,23,41;10,12
6,19,24,27,32;1,6
4,13,14,15,39;2,8
3,5,21,27,42;9,12
20,21,30,36,38;3,9
8,15,16,20,24;5,8
5,8,27,37,48;5,7
9,15,16,20,24;10,12
26,35,44,46,49;5,9
19,21,25,27,41;7,11
15,26,30,36,43;2,10
18,23,38,41,42;4,7
3,8,24,36,48;8,11
12,14,15,17,41;1,10
1,7,8,27,28;8,12
14,26,37,46,49;4,11
9,19,25,35,38;5,9
19,21,28,46,49;3,4
4,16,17,35,50;1,9
7,15,16,24,47;5,7
9,11,16,19,25;2,4
10,13,20,37,38;10,11
2,17,19,25,46;7,12
1,8,13,23,29;9,10
26,30,34,41,45;8,12
14,22,27,35,38;7,12
5,14,23,25,36;7,9
1,12,24,30,42;8,10
9,16,18,25,45;4,11
13,16,20,38,50;7,12
2,29,37,45,46;1,9
7,21,30,42,43;3,7
7,20,29,44,49;1,12
6,12,23,36,43;8,10
1,13,16,40,41;3,4
6,8,9,38,48;3,7
6,21,27,29,33;2,9
8,12,19,40,49;3,11
4,6,10,16,24;5,6
5,10,30,38,39;1,10
12,13,37,44,45;5,11
11,14,19,26,44;3,9
6,24,25,38,48;2,7
24,25,34,37,42;11,12
14,20,28,33,45;5,8
2,13,24,34,37;4,11
17,18,21,47,50;8,10
1,2,3,14,21;2,6
8,25,37,45,48;10,11
9,29,31,34,46;6,9
8,13,26,30,43;1,12
6,8,23,31,33;3,4
23,37,40,41,49;11,12
14,15,24,30,44;4,6
1,11,32,39,47;4,8
6,14,26,27,44;4,9
24,25,34,38,40;7,10
8,19,31,36,45;8,9
9,25,26,44,49;3,12
5,8,10,32,35;4,5
22,26,36,44,50;2,9
10,12,17,19,42;3,4
6,11,12,18,22;6,7
1,2,8,29,42;10,12
4,15,27,32,33;2,11
8,9,14,29,37;3,9
2,23,29,33,45;3,6
1,7,8,17,49;1,4
17,27,32,35,47;7,12
8,40,41,43,46;2,3
4,32,35,45,47;2,6
4,17,21,27,41;8,11
28,32,40,42,44;7,12
6,11,14,19,39;1,8
16,17,30,34,42;4,9
9,15,31,43,45;7,10
7,9,29,35,44;5,8
1,3,14,18,32;4,7
4,9,19,35,49;2,6
1,33,39,45,46;5,8
8,26,36,40,49;6,9
9,24,25,29,33;2,10
9,11,16,21,28;4,12
17,18,33,39,42;4,11
9,28,44,45,48;2,12
9,11,17,42,43;5,7
1,10,14,30,40;3,12
20,23,26,32,41;1,8
3,16,20,28,36;3,4
23,31,37,40,44;1,8
3,12,16,33,45;2,4
10,20,26,27,41;8,12
3,8,19,32,40;2,7
7,10,14,35,50;1,10
1,4,5,35,39;2,9
8,10,34,43,46;3,11
2,18,26,35,50;9,12
5,7,33,37,42;1,2
9,23,38,43,45;6,9
8,11,14,26,32;10,12
3,10,19,25,27;3,6
23,26,32,37,43;5,10
21,23,26,29,46;6,12
3,15,23,34,50;4,9
4,8,10,29,37;3,8
4,20,34,44,47;2,4
14,23,37,39,40;2,11
10,12,14,16,34;7,9
18,23,32,41,45;1,5
1,24,25,30,31;2,7
6,13,22,23,37;1,5
6,11,20,35,39;6,11
8,22,27,33,37;4,6
5,23,40,47,49;7,9
6,11,15,28,33;5,8
11,30,46,49,50;1,9
14,18,32,37,43;6,7
3,14,23,44,50;3,11
9,18,24,27,31;4,10
9,15,22,45,49;5,12
10,14,19,30,43;4,11
21,22,31,32,38;8,10
8,29,35,40,46;2,12
2,4,33,41,48;10,11
2,9,12,17,25;3,8
32,35,38,41,48;3,6
13,21,23,27,34;3,9
24,28,29,31,44;10,11
7,22,23,32,36;1,3
11,24,26,28,48;1,9
3,8,10,20,38;3,10
14,16,33,40,44;5,12
5,12,20,36,42;1,2
12,33,35,40,49;5,12
1,5,14,25,40;1,5
10,15,39,48,50;4,10
4,18,27,34,47;2,9
6,17,21,41,50;3,4
6,15,31,35,42;8,12
4,7,13,17,23;3,4
3,4,16,19,30;6,8
14,17,27,35,38;5,10
22,23,32,33,39;7,12
3,7,8,48,50;4,9
4,21,24,27,38;2,8
1,3,28,31,40;10,11
7,39,42,46,50;5,8
3,16,27,38,42;1,4
6,18,26,49,50;10,12
16,24,25,28,30;1,7
1,21,23,42,47;5,10
1,19,25,29,43;2,4
4,7,17,33,34;7,9
16,19,31,46,47;4,10
6,9,16,34,48;2,9
2,19,23,32,49;6,8
24,27,31,39,45;3,10
10,19,41,43,49;4,8
4,9,23,26,32;10,12
34,45,46,47,50;6,7
3,5,8,18,40;4,5
16,17,21,31,39;1,8
16,21,45,48,49;3,9
9,25,33,44,50;2,7
3,5,10,38,43;3,11
3,9,18,29,40;1,8
15,41,42,44,48;4,7
5,33,35,37,40;3,5
16,17,19,43,50;2,11
7,34,39,42,45;3,8
12,31,35,40,44;2,11
9,15,21,30,48;7,9
10,11,21,35,39;6,7
2,3,24,26,38;2,10
2,14,21,27,40;2,6
8,17,19,24,25;7,12
16,23,32,39,40;4,8
27,31,37,45,48;7,10
1,27,28,34,35;1,6
5,38,40,43,49;2,12
25,35,37,47,48;7,10
6,8,15,28,43;7,12
6,10,13,17,34;7,9
11,29,30,35,48;1,12
1,6,13,28,38;3,8
15,22,31,37,39;1,11
7,30,34,48,50;8,9
8,17,28,32,40;4,11
11,22,26,31,44;4,10
4,8,22,34,37;6,8
1,2,14,22,33;4,12
17,22,24,29,30;6,7
16,26,32,41,45;1,12
11,21,23,37,48;4,5
8,13,14,16,45;1,11
4,11,20,36,49;4,6
13,24,29,45,48;1,12
1,15,34,44,47;2,4
2,26,27,34,35;3,11
10,17,21,44,48;6,7
2,4,8,23,32;2,12
10,15,21,29,40;2,10
5,15,18,31,34;2,8
2,18,40,43,46;6,11
25,26,32,48,49;2,12
13,16,17,26,27;8,12
2,25,28,29,47;1,2
2,16,24,30,35;5,11
11,17,25,38,40;7,10
9,13,26,33,34;2,11
4,17,18,30,46;6,12
4,9,16,21,24;2,7
19,30,31,39,46;5,8
13,15,17,36,49;3,4
1,5,24,29,30;8,10
23,38,39,40,50;2,12
3,19,28,34,41;8,11
8,27,36,39,48;7,10
5,8,22,36,44;3,12
4,6,11,26,43;1,9
21,27,31,38,41;3,10
11,26,32,49,50;2,8
20,40,42,43,48;3,6
2,5,14,21,27;7,11
9,25,46,48,49;1,2
6,22,26,32,33;7,8
6,11,22,40,47;1,4
5,14,28,41,42;2,9
3,30,32,46,47;5,12
4,15,24,31,46;10,11
8,9,12,20,48;1,12
9,18,33,34,43;3,11
7,26,28,31,41;4,10
11,21,23,30,43;7,11
2,18,26,29,50;5,8
8,34,36,42,48;11,12
8,26,39,43,50;2,5
3,22,32,34,35;1,8
2,11,28,36,37;3,10
5,6,16,43,50;4,5
3,7,31,46,49;2,6
1,12,28,41,50;3,10
10,13,14,19,42;6,8
3,6,7,9,28;3,5
3,14,19,38,42;2,6
1,2,17,28,37;11,12
10,22,25,32,34;5,10
7,10,24,27,29;7,9
14,21,43,45,50;5,12
3,5,12,21,27;4,8
1,6,9,19,44;5,11
4,20,31,40,50;1,8
11,18,21,28,35;7,10
6,8,21,34,40;6,12
7,15,29,39,43;1,7
13,22,26,35,43;4,7
12,22,24,44,49;9,12
12,27,41,45,47;2,10
21,22,24,28,34;8,10
4,7,18,47,49;5,6
1,10,11,12,33;1,9
12,17,21,24,31;2,7
13,29,35,43,46;3,8
19,21,34,41,47;2,3
3,11,22,23,41;1,10
23,29,40,42,50;1,6
2,6,21,30,31;6,11
6,12,45,48,50;5,11
20,37,41,43,50;2,9
4,7,14,26,44;4,11
19,24,25,42,43;1,6
10,21,32,34,44;1,6
31,32,33,41,47;4,11
11,18,35,44,48;3,8
4,16,37,46,48;6,12
3,24,27,34,40;7,10
